add_or_remove, relation, parent, child, weight
1,edge,C0a,C825,0.2756
1,edge,C0a,C826,0.5418
1,edge,C0a,C827,0.6909
1,edge,C0a,C828,0.7131
1,edge,C0a,C829,0.2425
1,edge,C0a,C830,0.7328
1,edge,C0a,C831,0.2416
1,edge,C0a,C832,0.8587
1,edge,C0a,C833,0.5178
1,edge,C0a,C834,0.2117
1,edge,C0a,C835,0.3422
1,edge,C0a,C836,0.306
1,edge,C0a,C837,0.7276
1,edge,C0a,C838,0.572
1,edge,C0a,C839,0.6371
1,edge,C0a,C840,0.7
1,edge,C0a,C841,0.806
1,edge,C0a,C842,0.6382
1,edge,C0a,C843,0.3607
1,edge,C0a,C844,0.3214
1,edge,C0a,C845,0.7197
1,edge,C0a,C846,0.3346
1,edge,C0a,C847,0.9609
1,edge,C0a,C848,0.0815
1,edge,C0a,C849,0.6362
1,edge,C0a,C850,0.0545
1,edge,C0a,C851,0.3834
1,edge,C0a,C852,0.1387
1,edge,C0a,C853,0.3059
1,edge,C0a,C854,0.5957
1,edge,C0a,C855,0.0933
1,edge,C0a,C856,0.284
1,edge,C0a,C857,0.3818
1,edge,C0a,C858,0.4874
1,edge,C0a,C859,0.1419
1,edge,C0a,C860,0.839
1,edge,C0a,C861,0.466
1,edge,C0a,C862,0.5784
1,edge,C0a,C863,0.674
1,edge,C0a,C864,0.7508
1,edge,C0a,C865,0.0883
1,edge,C0a,C866,0.8456
1,edge,C0a,C867,0.8965
1,edge,C0a,C868,0.7055
1,edge,C0a,C869,0.9518
1,edge,C0a,C870,0.7448
1,edge,C0a,C871,0.8031
1,edge,C0a,C872,0.4173
1,edge,C0a,C873,0.7793
1,edge,C0a,C874,0.3529
1,edge,C0a,C875,0.5524
1,edge,C0a,C876,0.4356
1,edge,C0a,C877,0.0691
1,edge,C0a,C878,0.0717
1,edge,C0a,C879,0.0861
1,edge,C0a,C880,0.2668
1,edge,C0a,C881,0.5731
1,edge,C0a,C882,0.0063
1,edge,C0a,C883,0.4748
1,edge,C0a,C884,0.0116
1,edge,C0a,C885,0.23
1,edge,C0a,C886,0.1043
1,edge,C0a,C887,0.7008
1,edge,C0a,C888,0.3639
1,edge,C0a,C889,0.9971
1,edge,C0a,C890,0.6496
1,edge,C0a,C891,0.9138
1,edge,C0a,C892,0.362
1,edge,C0a,C893,0.7433
1,edge,C0a,C894,0.3159
1,edge,C0a,C895,0.5562
1,edge,C0a,C896,0.9966
1,edge,C0a,C897,0.1676
1,edge,C0a,C898,0.9934
1,edge,C0a,C899,0.1402
1,edge,C0a,C900,0.5226
1,edge,C0a,C901,0.529
1,edge,C0a,C902,0.878
1,edge,C0a,C903,0.7466
1,edge,C0a,C904,0.5327
1,edge,C0a,C905,0.4186
1,edge,C0a,C906,0.0472
1,edge,C0a,C907,0.8552
1,edge,C0a,C908,0.0726
1,edge,C0a,C909,0.3115
1,edge,C0a,C910,0.604
1,edge,C0a,C911,0.1312
1,edge,C0a,C912,0.3433
1,edge,C0a,C913,0.8593
1,edge,C0a,C914,0.5664
1,edge,C0a,C915,0.3076
1,edge,C0a,C916,0.3303
1,edge,C0a,C917,0.4116
1,edge,C0a,C918,0.4936
1,edge,C0a,C919,0.5115
1,edge,C0a,C920,0.8468
1,edge,C0a,C921,0.6302
1,edge,C0a,C922,0.4172
1,edge,C0a,C923,0.7898
1,edge,C0a,C924,0.5635
1,edge,C0a,C925,0.3931
1,edge,C0a,C926,0.0729
1,edge,C0a,C927,0.501
1,edge,C0a,C928,0.9043
1,edge,C0a,C929,0.1185
1,edge,C0a,C930,0.015
1,edge,C0a,C931,0.7551
1,edge,C0a,C932,0.8115
1,edge,C0a,C933,0.7179
1,edge,C0a,C934,0.0777
1,edge,C0a,C935,0.6752
1,edge,C0a,C936,0.8086
1,edge,C0a,C937,0.7545
1,edge,C0a,C938,0.721
1,edge,C0a,C939,0.1935
1,edge,C0a,C940,0.1402
1,edge,C0a,C941,0.1334
1,edge,C0a,C942,0.395
1,edge,C0a,C943,0.1617
1,edge,C0a,C944,0.2519
1,edge,C0a,C945,0.6783
1,edge,C0a,C946,0.3497
1,edge,C0a,C947,0.7219
1,edge,C0a,C948,0.1263
1,edge,C0a,C949,0.6994
1,edge,C0a,C950,0.9158
1,edge,C0a,C951,0.6463
1,edge,C0a,C952,0.0644
1,edge,C0a,C953,0.2955
1,edge,C0a,C954,0.4091
1,edge,C0a,C955,0.8028
1,edge,C0a,C956,0.3605
1,edge,C0a,C957,0.2098
1,edge,C0a,C958,0.4571
1,edge,C0a,C959,0.5768
1,edge,C0a,C960,0.5236
1,edge,C0a,C961,0.7124
1,edge,C0a,C962,0.1757
1,edge,C0a,C963,0.9126
1,edge,C0a,C964,0.4677
1,edge,C0a,C965,0.9995
1,edge,C0a,C966,0.8864
1,edge,C0a,C967,0.3296
1,edge,C0a,C968,0.486
1,edge,C0a,C969,0.7238
1,edge,C0a,C970,0.8421
1,edge,C0a,C971,0.9906
1,edge,C0a,C972,0.757
1,edge,C0a,C973,0.8784
1,edge,C0a,C974,0.4276
1,edge,C0a,C975,0.4465
1,edge,C0a,C976,0.3797
1,edge,C0a,C977,0.0271
1,edge,C0a,C978,0.1945
1,edge,C0a,C979,0.162
1,edge,C0a,C980,0.2827
1,edge,C0a,C981,0.6793
1,edge,C0a,C982,0.4075
1,edge,C0a,C983,0.3572
1,edge,C0a,C984,0.4662
1,edge,C0a,C985,0.0105
1,edge,C0a,C986,0.8774
1,edge,C0a,C987,0.8442
1,edge,C0a,C988,0.7016
1,edge,C0a,C989,0.0815
1,edge,C0a,C990,0.1995
1,edge,C0a,C991,0.6302
1,edge,C0a,C992,0.4464
1,edge,C0a,C993,0.1937
1,edge,C0a,C994,0.9251
1,edge,C0a,C995,0.588
1,edge,C0a,C996,0.3761
1,edge,C0a,C997,0.8956
1,edge,C0a,C998,0.4623
1,edge,C0a,C999,0.363
